ComplaintID,Complaint,Category,Urgency
CMP_10001,The indoor gym equipment cable snapped while a student was lifting heavy weights.,Sports,High
CMP_10002,"The authentication gateway server is down, preventing any student from logging into the internet.",Internet,High
CMP_10003,"A large chunk of plaster fell from the ceiling in room 535, narrowly missing a student.",Hostel,Critical
CMP_10004,the exam paper leaked online an hour prior to the scheduled examination schedule.,Academic,High
CMP_10005,Rainwater is rally leaking from the roof directly onto the rare manuscript and book archive section.,Library,High
CMP_10006,one of the three tube lights in room 212 has fused.,Electricity,Low
CMP_10007,Mass scale technical malpractice detected during the online proctored placement exams.,Academic,Critical
CMP_10008,The waiting time at the campus health center exceeded an hour for a routine checkup.,Medical,Low
CMP_10009,The on-duty doctor was absent during the specified night shift hours at the clinic.,Medical,High
CMP_10010,A major collision involving the university transport bus occurred near the main city crossing.,Transport,Critical
CMP_10011,the whiteboard markers provided to professors are mostly dried up and unreadable.,Academic,Low
CMP_10012,An entire batch's official physical final marksheets and degree registry files were destroyed.,Academic,Critical
CMP_10013,The barcode scanner at the return counter is failing to scan books quickly.,Library,Low
CMP_10014,The glass burettes in the chemistry lab have faint graduation marks that are hard to read.,Laboratory,Low
CMP_10015,the evening shuttle bus arrived 20 minutes later than the scheduled timetable.,Transport,Low
CMP_10016,The mouse attached to computer terminal 4 in the computer lab is malfunctioning.,Laboratory,Low
CMP_10017,"The main water pipeline has burst, causing massive flooding in the basement of Hostel 9.",Plumbing,High
CMP_10018,One of the three tube lights in room 546 has fused.,Electricity,Low
CMP_10019,the automated book search kiosk terminal is running extremely slowly.,Library,Low
CMP_10020,More than 15 students have reported severe stomach aches and vomiting after eating at the mess.,Mess,High
CMP_10021,Complete power blackout in the entire wing of Boys Hostel Block A for over 6 hours.,Electricity,High
CMP_10022,Sparking and a burning plastic smell coming from the distribution board near room 494.,Electricity,Critical
CMP_10023,The biosafety cabinet ventilation failed while handling pathogenic bacterial samples.,Laboratory,Critical
CMP_10024,A dangerous chemical spill of concentrated sulfuric acid occurred on bench 8.,Laboratory,Critical
CMP_10025,A critical cardiac emergency occurred at the sports arena and the emergency response was delayed.,Medical,Critical
CMP_10026,"A large chunk of plaster fell from the ceiling in room 157, narrowly missing a student.",Hostel,Critical
CMP_10027,Live naked electric wires are exposed in the hallway of the second floor near the water cooler.,Electricity,Critical
CMP_10028,A gas cylinder regulator valve in the chemical laboratory is jammed and leaking a distinct smell.,Laboratory,High
CMP_10029,A student is unconscious and unresponsive in room 253 following a sudden seizure.,Medical,Critical
CMP_10030,Sewage backflow coming out of the floor drains in the ground floor bathrooms.,Plumbing,Critical
CMP_10031,The main fiber optic line to the engineering department block was cut during construction work.,Internet,Critical
